Nivel	Ac	Ap	Et	Ev	a	r
85.65	0	74.13	83.15	0	7	-50
85.48	14.35	72.84	71.82	0	1	-50
85.76	7.1	68.83	35.63	0	1	-50
86.5	0	63.3	76.1	0	7	100
86.26	4.07	72.1	79.22	0	25	100
86.2	4.2	77.42	78.72	0	19	100
86.25	0	81.9	81.15	0	25	100
86.26	0	80.17	74.58	0	1	100
86.36	0	59.14	75.2	0	7	100
86.06	0	38.63	37.35	0	1	-50
86.08	0	53.27	75.81	0	25	-50
85.66	3.74	76.92	78.39	0	25	-50
85.7	32.09	85.98	83.23	0	25	-50
86.34	0	68.76	68.57	0	1	100
86.34	3.99	35.17	38.94	0	1	100
86.34	4.94	63.17	65.68	0	25	100
86.38	0.49	49.06	38.95	0	1	100
86.57	9.38	73.06	77.22	0	25	100
86.66	0	73.43	80.6	0	25	100
86.52	1.25	71.35	78.72	0	1	100
86.4	0	66.74	82.73	0	7	100
86.1	5.52	71.23	79.19	0	19	-50
86.05	1.79	77.54	70.99	0	19	-50
86.2	0.05	73.39	36.37	0	1	100
86.88	0	64.87	77.72	0	7	100
86.64	3.2	75.8	77.7	0	19	100
86.66	0	62.95	85.41	0	7	100
86.24	5.14	77.73	82.03	0	19	100
86.25	4.54	86.52	77.32	0	19	100
86.5	0.87	79.03	71.05	0	1	100
86.66	0	29.52	40.18	0	1	100
86.46	5.76	27.96	40.06	0	1	100
86.34	2.3	71.13	74.35	0	25	100
86.32	3.88	80.96	78.2	0	25	100
86.44	2.8	79.33	80.85	0	7	100
86.46	0.26	75.34	80.84	0	1	100
86.36	0	73.33	70.91	0	1	100
86.4	0	34.19	39.35	0	1	100
86.3	0	75.94	77.78	0	25	100
86.26	0.69	82.09	82.5	0	25	100
86.26	0	73.82	74.64	0	1	100
86.24	7.49	74.92	72.31	0	19	100
86.42	9.84	80.94	68.89	0	19	100
86.82	0	78.36	72.68	0	7	100
86.92	0	12.29	39.13	0	1	100
86.42	1.24	61.28	67.63	0	25	100
86.32	10.74	70.35	79.84	0	25	100
86.34	0	77.39	79.45	0	19	100
86.3	2.32	76.39	85.1	0	7	100
86.18	0	80.77	81.69	0	19	-50
86.16	0	69.63	77.07	0	1	-50
86.02	0	68.14	64.74	0	1	-50
86.08	2.09	77.65	88.27	0	25	-50
85.92	10.62	95.45	89.66	0	25	-50
86.22	0	92.45	86.35	0	1	100
86.33	9.57	64.67	86.55	0	7	100
86.1	0	88.82	85.45	0	19	-50
86.16	5.4	85.43	76.55	0	1	-50
86.42	0	72.49	58.21	0	1	100
86.68	8.03	76.77	85.61	0	25	100
86.66	0	84.43	82.06	0	19	100
86.7	0	81.84	84.94	0	7	100
86.64	0	69.7	82.56	0	1	100
86.4	8.23	74.8	79.69	0	19	100
86.46	8.74	77.07	83.52	0	25	100
86.5	0	46.96	63.1	0	1	100
86.2	2.75	82.89	88.74	0	25	100
86.14	16.15	88.52	82.92	0	19	-50
86.54	27.48	73.04	75.58	0	1	100
87	56.5	22.86	75	0	1	100
87.08	33.56	12.97	79	0	7	100
86.48	21.7	56.92	81.81	0	25	100
86.42	13.21	61.49	82.08	0	25	100
86.28	0	0	83.09	0	7	100
86.44	0	0	81.42	0	10	100
86.56	14.35	70.3	82.37	0	25	100
86.6	20.75	64.61	91.69	0	7	100
86.48	1.44	73.99	77.45	0	19	100
86.44	7.86	72.99	86.04	0	7	100
86.34	2.93	75.32	85.66	0	19	100
86.2	4.55	96.15	85.27	0	19	100
86.48	0	78.95	85.27	0	4	100
86.36	12.74	86.77	85.16	0	19	100
86.62	0	72.72	87.77	0	7	100
86.34	6.03	78.76	87.85	0	25	100
86.28	3.69	69.81	85.27	0	1	100
86.06	8.32	70.9	80.16	0	19	-50
86.04	18.89	82.32	84.84	0	25	-50
86.34	26.3	85.75	86.99	0	25	100
86.8	4.88	41.66	82.2	0	1	100
86.14	15.54	61.68	83.63	0	25	-50
86.02	5.93	76.12	86.13	0	25	-50
85.94	10.41	87.2	81.22	0	19	-50
86.24	3.48	60.55	76.88	0	1	100
86	4.56	90.1	85.87	0	25	-50
86.16	10.64	86.28	86.49	0	7	-50
86.35	9.21	82.57	86.78	0	7	100
86.44	3.48	80.99	85.33	0	1	100
86.42	2	73.29	84.86	0	1	100
86.24	13.46	77.06	83.88	0	19	100
86.36	11.71	73.04	81.35	0	1	100
86.42	0	84.77	86.89	0	25	100
86.38	1.65	87.47	85.73	0	19	100
86.44	5.96	78.55	85.48	0	1	100
86.42	5.52	62.95	83.56	0	1	100
86.14	5.71	66.69	85.32	0	25	-50
85.9	2.66	87.86	86.06	0	25	-50
85.98	4.64	67.32	81.59	0	1	-50
85.8	12.86	95.88	86.92	0	25	-50
86.2	7.02	102.9	90.25	0	25	100
86.56	1.03	65.96	91.79	0	7	100
86.1	43.68	52.92	84.63	0	1	-50
86.32	21.86	36.37	79.82	0	1	100
85.92	30.07	47.71	67.93	0	19	-50
86.1	31.4	36.76	58.31	0	1	-50
86.28	6.88	51.45	58.21	0	19	100
86.28	1.88	42.61	60.58	0	7	100
85.98	8.32	53.07	78.54	0	25	-50
85.66	13.13	87.75	82.25	0	25	-50
86	9.61	77.11	83.23	0	7	-50
86.06	0	69.82	87	0	7	-50
85.74	10.38	79.43	91.81	0	25	-50
85.7	8.81	95.96	88.39	0	19	-50
86	15.88	84.02	84.53	0	1	-50
86.28	0	67.92	75.36	0	1	100
86.14	18.09	57.68	75.66	0	7	-50
86.14	49.84	67.97	86.26	0	25	-50
86.72	0	18.32	89.72	0	7	100
85.4	2.94	70.21	92.52	0	25	-50
85.04	21.6	87.58	92.75	0	25	-50
85.34	32.74	111.65	92.24	0	19	-50
86.3	8.49	78.8	91.51	0	1	100
86.22	0	80.03	88.59	0	19	100
86.06	1.72	69.56	85.27	0	1	-50
85.8	4.86	74.13	91.78	0	25	-50
85.56	5.59	82.92	91.6	0	19	-50
85.5	9.58	90.3	92.17	0	25	-50
85.64	9.39	92.74	92.23	0	25	-50
85.82	0	95.26	91.82	0	19	-50
85.88	6.23	88.24	92.06	0	7	-50
85.92	7.66	86.75	92.1	0	7	-50
85.96	14.47	75.92	91.28	0	1	-50
85.94	0	78.4	91.24	0	19	-50
85.7	0	100.87	92.06	0	25	-50
85.86	11.24	83.19	92.08	0	7	-50
85.9	4.43	87.62	91.96	0	19	-50
85.9	17.75	97.13	91.99	0	25	-50
86.32	0	85.49	91.8	0	1	100
86.2	19.03	56.63	60.29	0	1	100
86.48	0	32.24	58.1	0	1	100
86	12.01	67.15	58.37	0	25	-50
86.38	4.35	76.83	75.68	0	25	100
86.48	11.39	70.42	82.78	0	7	100
86.46	0	44.77	75	0	1	100
85.9	24.9	67.75	75.29	0	25	-50
86.22	9.65	44.71	58.6	0	1	100
86.14	19.15	40.58	58.5	0	1	-50
86.16	15.33	60.73	58.58	0	25	-50
86.48	6.2	58.31	70.91	0	7	100
86.36	21.95	55.59	75.27	0	7	100
86.4	9.6	40.94	78.53	0	7	100
85.88	9.95	74.66	79.06	0	25	-50
85.98	27.05	54.75	69.72	0	1	-50
86.2	12.88	49.78	58.14	0	1	100
86.28	7.24	65.48	76.85	0	25	100
86.2	0	0	80.85	0	7	100
86.2	0	0	79.37	0	10	100
86.14	14.56	70.31	79.23	0	19	-50
86.24	0	67.31	79.09	0	1	100
86.02	0	32.43	58.24	0	1	-50
85.54	16.51	55.15	58.44	0	25	-50
85.78	2.02	64.24	79.09	0	25	-50
85.54	20.99	82.51	79.42	0	25	-50
85.98	22.56	69.08	78.51	0	1	-50
86.22	10.28	50.48	56.32	0	1	100
86.3	9.51	50.04	56.11	0	1	100
86.36	4.02	49.53	52.29	0	1	100
86.38	10.43	4.66	29	0	1	100
86.12	38.42	51.85	51.07	0	25	-50
86.84	5.06	19.16	55.33	0	7	100
86.26	22.48	44.48	59.33	0	25	100
86.4	15.42	46.47	55.23	0	19	100
86.52	8.55	45.33	54.81	0	1	100
86.5	3.25	30.62	51.09	0	1	100
86.18	8.61	22.01	25.09	0	1	-50
86.28	16.56	38.42	50.55	0	25	100
86.36	47.43	30.74	54.27	0	7	100
86.8	20.05	15.89	54.23	0	1	100
86.46	42.52	22.33	54.98	0	25	100
86.64	38.08	9.28	54.84	0	1	100
86.5	31.25	7.71	51.86	0	1	100
86.26	25.31	11.44	25.81	0	19	100
86.46	33.32	12.37	49.92	0	25	100
86.38	30.19	29.3	55.66	0	25	100
86.45	35.14	15.24	47.54	0	1	100
86.5	24.87	6.95	25.14	0	1	100
86.62	20.81	0	25.05	0	1	100
86.54	14.43	0	25.11	0	16	100
86.34	9.83	0	25.95	0	16	100
86.04	5.59	11.22	34.98	0	25	-50
85.7	9.88	19.55	34.49	0	19	-50
85.6	8.49	28.72	34.75	0	25	-50
85.64	15.01	31.1	34.96	0	25	-50
85.84	3.6	36.75	38.93	0	25	-50
85.86	13.86	29.24	34.24	0	1	-50
86.02	0.95	27.43	24.97	0	1	-50
86.08	18.61	22.97	34.88	0	7	-50
86.2	16.94	15.41	34.39	0	1	100
86.16	13.11	29.23	33.62	0	19	-50
86.32	5.97	5.52	35.22	0	7	100
85.88	19.46	13.35	25.08	0	19	-50
86.02	134.77	3.93	25.81	0	7	-50
88.1	33.6	0	25.82	0	7	100
88.24	8.34	0	46.16	0	16	100
87.54	2.19	0.72	53.73	0	25	100
86.6	7.61	2.94	58.11	0	25	100
85.72	28.47	15.49	36.33	0	19	-50
85.86	38.62	16.75	35.81	0	19	-50
86.22	21.43	14.63	36.06	0	7	100
86.22	30.33	9.96	25.1	0	1	100
86.5	17.13	9.11	34.89	0	7	100
86.34	14.1	8.59	34.61	0	1	100
86.12	8.77	24.71	35.57	0	25	-50
86.08	7.64	23.52	34.32	0	1	-50
86.02	8.16	31.96	35.65	0	25	-50
86.1	5.12	20.71	35.46	0	1	-50
85.92	0	0	25.01	0	1	-50
85.98	0	0	34.31	0	16	-50
85.93	9.46	22.59	34.69	0	25	-50
85.88	7.48	23.65	35.34	0	25	-50
85.8	43.23	19.75	35.63	0	7	-50
86.3	10.69	7.28	35.3	0	1	100
85.98	8.54	10.32	35.04	0	19	-50
85.68	7.9	15.22	25.23	0	19	-50
85.64	6.96	18.28	25.19	0	19	-50
85.64	4.08	20.13	35.01	0	25	-50
85.44	0	14.1	34.66	0	1	-50
85.06	32.48	40.7	35.14	0	25	-50
85.76	2.16	43.35	43.21	0	25	-50
85.8	6.57	52.9	59.35	0	25	-50
85.8	0	28.97	26.69	0	1	-50
85.84	0.05	49.78	62.74	0	25	-50
85.6	3.18	60.02	63.1	0	25	-50
85.6	5.14	61.75	60.28	0	19	-50
85.72	8.89	65.51	63.45	0	25	-50
85.92	12.76	44.06	62.11	0	1	-50
85.82	26.59	57.71	63.57	0	25	-50
86.2	3.45	10.42	26.86	0	1	100
85.96	48.68	55.03	60.33	0	25	-50
86.76	61.11	10.16	63.5	0	7	100
86.9	18.5	0	61.84	0	1	100
86.1	17.58	36.17	61.33	0	19	-50
85.96	11.11	52.8	60.61	0	19	-50
86.02	18.31	29.06	35.4	0	1	-50
86.24	12.3	7.45	25.13	0	1	100
86.14	12.12	9.79	34.88	0	25	-50
85.9	11.35	15.52	34.45	0	19	-50
85.76	18.29	31.33	35.48	0	25	-50
86.02	11	30.4	34.79	0	1	-50
86.14	5.37	9.28	35.16	0	7	-50
85.76	0	0	0	0	1	-50
85.74	7.97	16.41	25.42	0	25	-50
85.72	10.58	37.23	34.76	0	25	-50
85.96	2.3	32.56	35.93	0	7	-50
85.94	6.67	34.75	34.88	0	19	-50
86.06	4.08	27.56	34.76	0	1	-50
86	9.1	24.15	34.23	0	1	-50
85.98	5.53	25.2	34.96	0	25	-50
85.9	8.07	17.14	25.1	0	1	-50
85.9	0.99	27.46	25.05	0	19	-50
85.96	5.49	30.59	34.96	0	25	-50
85.98	5.47	29.28	31.48	0	1	-50
86.04	2.76	34.64	34.01	0	25	-50
86.1	9.18	24.72	33.77	0	1	-50
86.1	0	26.22	34.77	0	25	-50
85.94	5.43	17.6	25.07	0	1	-50
85.9	71.11	13.89	25.27	0	7	-50
87	40.6	2.74	33.47	0	7	100
87.18	15.36	4.13	34.65	0	25	100
86.9	9.02	6.79	35.26	0	25	100
86.54	9.93	12.52	35.37	0	25	100
86.3	3.54	17.19	33.66	0	19	100
86.06	50.69	10.61	25.45	0	1	-50
86.72	98.42	0.64	36.13	0	7	100
87.88	137.56	0	45.1	0	7	100
89.58	79.31	0	57.09	0	16	100
89.98	21.09	0.01	61.08	0	25	100
89.24	12.64	9.12	74.83	0	25	100
88.26	4.43	8.56	74.68	0	1	100
87.12	1.05	11.73	74.47	0	19	100
85.98	0	25	74.72	0	25	-50
85.06	17.39	52.16	73.76	0	19	-50
84.98	25.96	33.5	41.91	0	1	-50
85.3	20.4	30.16	41.82	0	1	-50
85.46	13.19	26.5	41.85	0	7	-50
85.42	9.12	24.05	41.78	0	1	-50
85.26	7.79	37.32	41.79	0	25	-50
85.32	7.94	33.94	41.76	0	1	-50
85.32	7.26	28.36	41.99	0	7	-50
85.2	5.92	38.2	41.93	0	19	-50
85.24	11.98	44.47	53.17	0	25	-50
85.3	10.3	39.17	41.87	0	1	-50
85.44	9.7	28.96	41.87	0	4	-50
85.38	8.41	25.73	41.7	0	1	-50
85.24	9.52	45.45	54.92	0	25	-50
85.24	0.52	36.71	62.11	0	7	-50
84.78	0.66	59.42	61.65	0	19	-50
84.75	14.06	62.63	65.19	0	25	-50
84.96	4.99	69.24	60.96	0	19	-50
85.2	15	66.01	57.04	0	1	-50
85.64	0	27.63	41.66	0	1	-50
85.38	10.05	32.79	41.75	0	25	-50
85.4	25.95	60.88	60.79	0	25	-50
85.88	14.34	25.77	61.77	0	7	-50
85.48	9.31	40.58	66.11	0	25	-50
85.18	16.4	44.11	61.52	0	19	-50
85.16	16.99	39.04	52.68	0	1	-50
85.22	13.7	27.09	42.86	0	1	-50
85.18	6.21	51.48	59.74	0	25	-50
85.14	7.46	51.04	59.44	0	1	-50
85.12	6.29	60.73	61.41	0	25	-50
85.22	9.48	60.18	61.9	0	7	-50
85.36	19.62	59.76	61.99	0	7	-50
85.68	7.64	38.01	56.43	0	1	-50
85.48	5.47	24.4	41.74	0	1	-50
85.26	7.17	48.19	59.63	0	25	-50
85.18	9.13	62.75	60.89	0	25	-50
85.38	3.08	65.23	61.69	0	25	-50
85.5	5.11	61.2	59.66	0	1	-50
85.62	11.71	60.65	58.15	0	1	-50
85.88	5.02	55.73	55.12	0	1	-50
85.98	0	31.64	41.19	0	1	-50
85.8	4.02	62.63	57.68	0	25	-50
85.96	6.86	56.49	61.01	0	7	-50
86	0	58.13	59.05	0	19	-50
85.98	0.22	56.85	61.19	0	7	-50
85.9	3.97	55.33	58.99	0	1	-50
85.9	2.31	32.64	45.63	0	1	-50
85.7	9.22	34.57	25.21	0	19	-50
86.04	9.81	37.38	47.18	0	25	-50
86.04	8.75	36.31	48.31	0	7	-50
85.98	3.92	44.5	50.53	0	25	-50
85.94	4.82	50.1	52.61	0	25	-50
85.98	0	45.8	50.04	0	1	-50
85.9	23.57	51.83	50.39	0	25	-50
86.36	6.69	25.7	25.8	0	1	100
86.48	1.17	44.1	50.63	0	25	100
86.38	5.3	50.7	54.73	0	25	100
86.4	4.13	51.51	54.36	0	19	100
86.42	1.63	44.52	55.71	0	7	100
86.24	4.61	53.92	52.88	0	19	100
86.34	9.74	34.42	48.28	0	1	100
86.26	0	18.38	21.41	0	1	100
86.2	6.39	24.62	22.13	0	25	100
86.36	0.02	51.23	48.87	0	25	100
86.4	0.08	49.24	53.44	0	7	100
86.32	0.53	44.72	53.72	0	7	100
86.16	0	47.21	54.59	0	25	-50
86.02	6.05	46.57	51.32	0	1	-50
86.04	1.95	21.67	26.65	0	1	-50
85.98	1.11	46.59	51.81	0	25	-50
85.9	1.03	52.95	55.95	0	25	-50
85.86	7.67	53.1	54.06	0	19	-50
85.98	0.4	57.78	56.9	0	25	-50
86	0	54.68	57.76	0	7	-50
85.94	9.17	46.49	53.33	0	1	-50
85.98	0.96	23.53	23.28	0	1	-50
86	0	47.61	51.82	0	25	-50
85.92	5.06	61.13	56.29	0	25	-50
86.1	13.57	53.35	56.94	0	7	-50
86.28	0	16.46	24.97	0	1	100
86.12	57.81	6.06	33.44	0	7	-50
86.68	0	0	49.31	0	7	100
85.56	0.88	28.8	21.91	0	19	-50
85.7	2.65	58.7	50.29	0	25	-50
85.9	3.17	61.14	58.7	0	25	-50
86	17.18	68.84	56.45	0	19	-50
86.54	0	63.86	54.87	0	1	100
86.7	0	51.41	55.45	0	7	100
86.62	0	32.77	57.43	0	7	100
86.16	5.09	12.45	30.28	0	1	-50
85.92	0	36.69	49.45	0	25	-50
85.68	8.77	61.75	52.46	0	25	-50
86.01	0.05	65.21	54.76	0	25	-50
86.2	0	44.49	55.09	0	7	100
86	5.12	54.92	55.51	0	25	-50
86.08	0	37.56	54.71	0	1	-50
85.76	8.94	33.54	30.36	0	1	-50
85.98	0.48	67.16	50.1	0	25	-50
86.3	0	47.06	55.5	0	7	100
86.14	0	50.18	60.77	0	25	-50
85.94	0	48.13	58.68	0	1	-50
85.74	9.14	47.89	60.02	0	7	-50
85.68	6.29	46.61	53.78	0	1	-50
85.66	0	49.83	22.53	0	19	-50
86.16	0	45.92	51.19	0	7	-50
86.06	1.65	40.55	38.77	0	1	-50
86.12	0	59.55	60.41	0	25	-50
86.1	1.41	70.09	69.07	0	25	-50
86.14	3.25	62.21	67.3	0	1	-50
86.1	0	51.48	61.99	0	1	-50
85.9	7.04	24.12	38.42	0	1	-50
85.76	3.21	77.34	62.89	0	25	-50
86.08	0	75.98	61.63	0	1	-50
86.34	8.65	57.22	59.17	0	1	100
86.46	0	52.4	52.21	0	1	100
86.46	5.6	62.31	52.5	0	25	100
86.74	0	26.09	58.37	0	7	100
86.14	3.45	19.79	30.6	0	1	-50
86	3.27	49.7	42.99	0	25	-50
86.18	0	51.79	50.49	0	25	-50
86.2	4.27	53.43	55.33	0	25	100
86.24	0.56	56.41	53.5	0	19	100
86.3	9.96	46.57	53.06	0	1	100
86.36	0	44.58	48.71	0	1	100
86.28	0	15.15	23.61	0	1	100
86.12	0	43.47	49.79	0	25	-50
86	6.32	46.16	54.46	0	25	-50
85.96	0	57.56	55.19	0	25	-50
86	7.54	59.62	52.81	0	19	-50
86.26	0	46.93	53.22	0	7	100
86.14	0.68	28.49	50.64	0	1	-50
85.74	3.01	20.14	22.93	0	1	-50
85.74	0	39.19	49.82	0	25	-50
85.54	10.88	58.96	57.72	0	25	-50
85.76	6.51	56.58	54.22	0	1	-50
85.92	9.41	67.8	55.33	0	25	-50
86.32	0	41.96	53.69	0	1	100
86.1	4.29	22.51	52.6	0	1	-50
85.62	0	41.2	24.72	0	19	-50
85.92	0	59.77	47.61	0	25	-50
86.14	10.44	58.12	58.65	0	7	-50
86.32	8.64	55.2	63.58	0	7	100
86.32	59.03	0	53.37	0	1	100
86.42	0.35	52.19	53.39	0	25	100
86.4	9.24	44.73	48.3	0	1	100
86.5	0	23.46	25.38	0	1	100
86.46	0	21.61	50.64	0	7	100
85.92	0	0	53.12	0	7	-50
85.98	0	0	54.75	0	16	-50
86.04	11.31	62.64	56.4	0	25	-50
86.36	1.91	58.03	54.27	0	1	100
86.46	2.14	54.51	51.03	0	1	100
86.56	0	7.65	25.9	0	1	100
86.22	0	34.74	50.76	0	25	100
85.92	3.54	42.33	54.93	0	25	-50
85.75	0	32.43	54.38	0	1	-50
85.34	6.84	48.2	54.8	0	25	-50
85.34	0	46.6	55.01	0	7	-50
85.18	14.45	57.72	52.38	0	19	-50
85.54	0	36.04	25.03	0	1	-50
85.74	1.98	53.11	49.6	0	25	-50
85.84	0	62.58	54.79	0	25	-50
85.98	1.32	45.13	53.81	0	1	-50
85.84	6.3	48.74	54.81	0	25	-50
85.84	2.84	55.52	53.85	0	19	-50
85.92	0	55.42	53.05	0	1	-50
85.96	3.91	34.03	31.24	0	1	-50
86.08	8.03	61.39	49.68	0	25	-50
86.44	0	61.25	45.8	0	1	100
86.72	0.33	27.93	50.87	0	7	100
86.3	7.35	43.02	51.2	0	25	100
86.28	0	44.94	53.38	0	25	100
86.12	12.84	59.71	50.63	0	19	-50
86.52	0	26.19	24.83	0	1	100
86.54	0	38.37	51.16	0	25	100
86.3	3.78	50.12	56.9	0	25	100
86.24	13.49	61.35	55.08	0	19	100
86.6	0.69	63.35	54.11	0	19	100
86.78	4.74	62.56	56.2	0	7	100
86.98	0	32.43	37.66	0	1	100
86.88	0	13.3	21.81	0	1	100
86.72	3.57	31.17	41.19	0	25	100
86.6	3.56	40.02	44.55	0	25	100
86.58	0	22.5	47.19	0	7	100
86.12	0	16.75	47.86	0	7	-50
85.54	9.43	21.23	44.59	0	19	-50
85.28	6.75	52.23	37.11	0	19	-50
85.68	0	31.69	26.08	0	1	-50
85.78	10.85	47.32	44.97	0	25	-50
86.02	0	4.98	22.14	0	1	-50
85.7	4.39	46.41	46.89	0	25	-50
85.77	13.98	64.48	46.35	0	19	-50
86.36	14.24	49.59	46.3	0	1	100
86.68	0	17.51	34.63	0	1	100
86.36	6.24	5.55	25.67	0	1	100
86.1	4.53	50.29	44.84	0	25	-50
86.28	3.71	43.22	42.42	0	1	100
86.36	0	35.75	44.22	0	7	100
86.2	2.46	19.22	42.05	0	1	100
85.82	0	21.91	44.45	0	25	-50
85.4	0	11.54	38.42	0	1	-50
84.9	5.61	23.03	28.45	0	19	-50
84.9	2.21	37.22	41.53	0	25	-50
84.86	6.91	44.09	41.18	0	19	-50
85.04	7.45	37.04	45.39	0	7	-50
85.02	6.01	46.82	42.95	0	19	-50
85.2	5.22	50	44.21	0	25	-50
85.4	3.79	26.71	35.81	0	1	-50
85.3	8.3	11.4	25.01	0	1	-50
85.2	20.98	39.17	38.43	0	25	-50
85.6	16.7	20.93	45.18	0	7	-50
85.46	17.36	15.84	46.1	0	7	-50
85.22	40.41	4.45	45.31	0	1	-50
85.21	17.69	22.85	44.27	0	19	-50
85.14	11.26	16.68	32.11	0	1	-50
85.06	6.79	0.03	25.06	0	1	-50
84.72	8.06	14.51	41.89	0	25	-50
84.36	0.85	25.56	45.72	0	25	-50
84	19.36	71.77	44.51	0	19	-50
84.86	1.57	55.1	43.57	0	1	-50
85.1	15.53	34.02	45.21	0	7	-50
85.18	14.82	10.25	32.61	0	1	-50
85.04	14.23	27.47	24.31	0	19	-50
85.36	0	25.46	40.49	0	7	-50
85.08	1.87	31.46	42.95	0	25	-50
84.9	27.92	37.54	44.74	0	25	-50
85.28	19.22	10.53	43.81	0	1	-50
85.02	16.68	25.93	44.71	0	25	-50
84.98	12.69	32.95	33.63	0	19	-50
85.2	4.85	15.53	25.63	0	1	-50
85.1	6.42	24.72	40.7	0	25	-50
84.92	5.71	10.86	46.23	0	7	-50
84.37	11.58	50.26	45.97	0	19	-50
84.66	9.93	44.22	45.33	0	1	-50
84.82	17.82	49.01	44.02	0	19	-50
85.24	10.91	30.06	33.28	0	1	-50
85.38	13.2	2.73	25.52	0	1	-50
85.2	13.21	40.54	41.62	0	25	-50
85.42	8.86	10.97	43.54	0	7	-50
84.98	0	0	44.31	0	7	-50
85.76	0	0	42.62	0	10	-50
85.18	16.94	22.04	43.16	0	25	-50
85.1	13.63	11.96	33.04	0	1	-50
84.96	0	26.96	25.77	0	19	-50
84.98	10.1	42.62	41.77	0	25	-50
85.18	5.3	46.61	45.3	0	25	-50
85.3	15.24	30.16	43.13	0	1	-50
85.34	14.76	28.7	43.41	0	7	-50
85.34	15.41	17.61	34	0	1	-50
85.32	7.01	16.62	34.32	0	7	-50
85.12	2.81	11.6	24	0	1	-50
84.94	12.11	32.8	32.79	0	25	-50
85.16	9.48	39.29	34.5	0	25	-50
85.42	0.91	30.17	35.22	0	7	-50
85.34	0.89	16.97	36.13	0	7	-50
